acc,policy,t
0.609375,ssp,1
0.859375,ssp,2
0.9479166865348816,ssp,3
0.9895833134651184,ssp,4
0.9791666865348816,ssp,5
0.96875,ssp,6
0.9791666865348816,ssp,7
0.9895833134651184,ssp,8
0.9947916865348816,ssp,9
0.9739583134651184,ssp,10
0.9791666865348816,ssp,11
0.984375,ssp,12
0.9635416865348816,ssp,13
0.9635416865348816,ssp,14
0.9583333134651184,ssp,15
0.9322916865348816,ssp,16
0.6875,random,1
0.8177083134651184,random,2
0.8645833134651184,random,3
0.9270833134651184,random,4
0.9375,random,5
0.9635416865348816,random,6
0.9791666865348816,random,7
0.9895833134651184,random,8
0.984375,random,9
0.9583333134651184,random,10
0.9583333134651184,random,11
0.9791666865348816,random,12
0.96875,random,13
0.9739583134651184,random,14
0.96875,random,15
0.984375,random,16
0.609375,fixed,1
0.8229166865348816,fixed,2
0.9114583134651184,fixed,3
0.9791666865348816,fixed,4
0.9583333134651184,fixed,5
0.9895833134651184,fixed,6
0.96875,fixed,7
0.96875,fixed,8
0.9791666865348816,fixed,9
0.9947916865348816,fixed,10
1.0,fixed,11
0.9947916865348816,fixed,12
0.9895833134651184,fixed,13
0.984375,fixed,14
0.9635416865348816,fixed,15
0.9427083134651184,fixed,16
